,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,psn/naturaltokyo_23,psn,234.44701647789188,23.0,2.439301597759842,92.0,14809,88.0,6071,,1750436,87.0,2732,,15285,,476,,718715,,58038,,8.075245403254419,,57,,70,,1070,,1423,,925,,1193,,384.0,,0.4890202423802133,28.0,57.802595515635836,,27839,,2521,,1128,,4310,,3547,,1361,,4651,,215,,3219,,54.3,,738,91.0,619,,3,,1361,,1268,,140,,0,,1816980,,7099759,,10475507,,3225691,,1700076,,2173992,,1183748,,832401,,2192000,,390000,,390000,,390000,,390000,,1199066,,2973244,,2789984,,178884,,99.1998768939394,,1527,,1309,,0.35055096418732784,,1.1665393430099313,56.0,261390,,51184,,7418,,14.492810253204128,,838108,78.0,192.40312213039485,14.0,1069,,986,,0.2872883633431873,,1.0841784989858012,54.0,223305,,48440,,5514,,11.383154417836499,,910953,82.0,244.81402848696587,17.0,1932,,1716,,0.33547490883833997,,1.1258741258741258,52.0,345565,,109364,,13228,,12.095387879009547,,1072338,87.0,186.2021184233374,12.0,687,,648,,0.24147627416520212,,1.0601851851851851,51.0,170745,,19719,,2809,,14.245144277093157,,483021,77.0,169.77891036906854,18.0,7392,,0,,0.9180327868852459,,0.0,,483135,,0,,0,,0.0,,2973244,97.0,369.2553402881272,15.0,2993,,0,,0.5395709392464395,,0.0,,332840,,0,,0,,0.0,,1199066,96.7,216.16477375157743,81.0
1,psn/sirpatroo,psn,354.23787796487414,63.0,1.96036481418343,84.0,22999,92.0,11732,,2997036,92.0,5537,,23866,,867,,1426343,,109405,,7.670314924250338,,92,,98,,1624,,2351,,2165,,2991,,544.0,,0.8328444685859134,67.0,108.52927756653992,,67485,,2703,,1730,,9499,,4332,,1037,,8358,,425,,5193,,49.3,,738,91.0,759,,1,,1498,,1447,,163,,0,,1656915,,9782279,,12802149,,5103927,,2815893,,1862459,,1795244,,1456112,,2391000,,390000,,390000,,390000,,390000,,1579796,,2823398,,2799435,,23252,,99.48439212029373,,1840,,1767,,0.6637806637806638,,1.0413129598189022,48.0,166320,,83934,,11832,,14.096790335263421,,821550,77.0,296.37445887445887,45.0,2131,,2153,,0.6323442136498516,,0.9897816999535531,47.0,202205,,113952,,14714,,12.912454366750914,,1380676,87.0,409.6961424332344,65.0,4318,,3717,,0.6282554925069112,,1.1616895345708904,54.0,412390,,271758,,24745,,9.105527712155668,,2089631,93.0,304.03477375236434,45.0,2529,,1912,,0.7052426101505856,,1.3226987447698744,66.0,215210,,38627,,8077,,20.9102441297538,,1354481,91.0,377.71360847741215,84.0,8795,,0,,1.4496456238668205,,0.0,,364025,,0,,0,,0.0,,2823398,96.8,465.3697049612659,32.0,4402,,0,,0.8900121310149616,,0.0,,296765,,0,,0,,0.0,,1579796,97.4,319.40881520420544,90.0
2,origin/letseventheodds,origin,386.81591639871385,73.0,2.8580964903408517,95.1,28258,93.0,9887,,3688367,93.0,6885,,29072,,814,,458507,,88948,,19.399485722137285,,46,,215,,2160,,3653,,13348,,4958,,386.0,,0.9876275688522298,79.0,128.9097930938068,,5402,,1033,,2048,,1683,,0,,1034,,10011,,444,,4810,,55.4,,738,91.0,593,,0,,1331,,1279,,159,,0,,1716745,,11067577,,12357077,,6301944,,2541683,,2223950,,1845638,,1418992,,921000,,390000,,385024,,276140,,390000,,320,,655838,,636250,,19089,,99.61367996775495,,7375,,3294,,1.1002536177830822,,2.2389192471159682,92.0,402225,,168617,,34725,,20.594008907761378,,2574007,91.0,384.0082052812174,72.0,990,,475,,1.0691144708423326,,2.0842105263157893,90.0,55605,,29905,,4666,,15.602742016385221,,385024,67.0,415.792656587473,67.0,744,,435,,1.157076205287714,,1.710344827586207,80.0,38590,,33087,,4677,,14.135461057212803,,276140,64.0,429.45567651632973,81.0,17553,,5457,,0.9187647212771526,,3.216602528862012,97.2,1146315,,164708,,38269,,23.2344512713408,,7273572,99.0,380.71562418215126,84.0,2059,,0,,1.6712662337662338,,0.0,,73965,,0,,0,,0.0,,655838,87.0,532.336038961039,42.0,0,,0,,0.0,,0.0,,45,,0,,0,,0.0,,320,23.0,320.0,90.0
3,origin/cresonis,origin,374.6850351701837,70.0,1.0131508319914118,41.0,18875,90.0,18630,,2490307,90.0,5885,,19654,,779,,521859,,90010,,17.247953949246828,,21,,221,,2072,,3078,,4791,,2948,,424.0,,0.6292295896256292,45.0,83.01853518685202,,109252,,5934,,5667,,29016,,2515,,1039,,10164,,287,,6173,,48.3,,738,91.0,791,,0,,1529,,1488,,169,,0,,1799825,,11239427,,13720211,,3518999,,3440253,,4279675,,1471079,,2094526,,1212600,,390000,,390000,,390000,,390000,,3825,,289981,,242868,,46155,,99.82872942246476,,4271,,4604,,0.6411950157633989,,0.9276715899218071,39.0,399710,,110636,,21227,,19.18634079323186,,2447992,91.0,367.51118450683083,68.0,5047,,5280,,0.6177478580171358,,0.9558712121212121,45.0,490210,,157849,,25051,,15.870230410075454,,3310118,94.0,405.15520195838434,64.0,6275,,5735,,0.6658531409168081,,1.094158674803836,50.0,565480,,195508,,33117,,16.938948789819342,,3464698,96.3,367.64622241086585,66.0,2987,,2782,,0.5675470264107924,,1.0736879942487418,52.0,315795,,41386,,9265,,22.386797467742714,,1806799,93.0,343.30210906327187,76.0,480,,0,,1.1214953271028036,,0.0,,25715,,0,,0,,0.0,,289981,78.0,677.5257009345794,56.0,7,,0,,0.14583333333333334,,0.0,,2915,,0,,0,,0.0,,3825,59.0,79.6875,46.0
4,xbl/laketonka,xbl,256.9318524241839,30.0,1.5088228184674886,70.0,12484,86.0,8274,,1772560,88.0,4960,,13140,,656,,477041,,55979,,11.734630775971038,,23,,16,,1614,,2316,,3189,,2619,,364.0,,0.48228703882557467,27.0,68.47826926791578,,143321,,5770,,3438,,13568,,789,,1107,,11052,,214,,3537,,67.2,,740,91.0,361,,0,,1107,,1045,,146,,0,,1553135,,6650681,,11277903,,2386489,,2622342,,1641850,,955721,,1454087,,3698000,,390000,,390000,,390000,,390000,,0,,45097,,29285,,15531,,98.92897368421053,,3939,,2717,,0.4619444118681834,,1.4497607655502391,71.0,511635,,115654,,18970,,16.402372594116933,,1805560,88.0,211.74621789609475,19.0,3296,,2935,,0.4300065231572081,,1.1229982964224872,56.0,459920,,194317,,15728,,8.093990747078228,,2388012,92.0,311.54755381604696,35.0,1552,,1026,,0.5754542083796811,,1.5126705653021442,73.0,161820,,93731,,9445,,10.07670887966628,,728872,82.0,270.2528735632184,34.0,3688,,1562,,0.527761877504293,,2.3610755441741356,92.0,419300,,73185,,11823,,16.154949784791967,,1691765,92.0,242.0957355466514,44.0,28,,0,,4.0,,0.0,,420,,0,,0,,0.0,,45097,46.0,6442.428571428572,95.2,0,,0,,0.0,,0.0,,40,,0,,0,,0.0,,0,,0.0,
5,psn/dodoxd50000,psn,382.51385697538103,72.0,1.927794975163775,83.0,26779,93.0,13891,,3174920,92.0,5046,,27702,,923,,753868,,124464,,16.510052157672163,,33,,388,,2302,,3262,,6369,,2174,,496.0,,1.2557561547479483,91.0,148.88253223915592,,30101,,2911,,3084,,5181,,291,,764,,7039,,587,,2418,,55.7,,738,91.0,577,,10,,1337,,1285,,133,,0,,1279525,,8157108,,9498531,,4479738,,1727225,,1950095,,1382731,,1036670,,2183800,,390000,,390000,,390000,,390000,,124164,,724040,,683738,,39310,,99.14959290187892,,8452,,4507,,1.1897522522522523,,1.8753050809851342,85.0,426270,,171649,,39382,,22.943332032228557,,2494328,91.0,351.115990990991,63.0,7707,,3468,,1.5702933985330074,,2.222318339100346,92.0,294510,,214113,,43711,,20.41492109306768,,2115817,91.0,431.0955582722086,71.0,4131,,2686,,1.3015122873345937,,1.5379746835443038,74.0,190470,,154148,,22215,,14.411474686664763,,1286397,89.0,405.2920604914934,76.0,4441,,2567,,1.1360961882834484,,1.7300350603817687,81.0,234560,,34094,,9634,,28.257171349797616,,1425243,91.0,364.60552570990023,81.0,1850,,0,,1.3111268603827073,,0.0,,84710,,0,,0,,0.0,,724040,88.0,513.1396172927002,39.0,315,,0,,0.3860294117647059,,0.0,,49005,,0,,0,,0.0,,124164,87.0,152.16176470588235,71.0
6,xbl/marcolin3059,xbl,331.26182593982196,56.0,1.2082908163265307,54.0,18946,90.0,15680,,2320527,90.0,4257,,19682,,736,,614181,,93893,,15.287512964419284,,16,,805,,2057,,2704,,3597,,1684,,264.0,,0.6969028176267197,53.0,85.35742661664092,,27122,,3153,,3705,,7481,,892,,1388,,8802,,338,,2956,,53.3,,740,91.0,647,,1,,1388,,1364,,165,,0,,1631200,,9005684,,13103814,,3148470,,1990613,,3866251,,1244130,,1256242,,2854000,,390000,,390000,,390000,,390000,,12919,,174797,,122147,,51432,,99.7189201529593,,6331,,5482,,0.659204498125781,,1.1548704852243707,55.0,576270,,179215,,31624,,17.645844376865778,,3070283,92.0,319.6879425239484,53.0,6724,,5247,,0.8535161208428536,,1.2814941871545644,65.0,472715,,258986,,35962,,13.885692662923866,,2959148,93.0,375.6217314039096,55.0,3945,,3202,,0.6581581581581581,,1.2320424734540911,59.0,359660,,136767,,19924,,14.567841657709826,,1959379,92.0,326.89005672339005,53.0,1829,,1557,,0.5532365396249244,,1.1746949261400128,58.0,198365,,31652,,5923,,18.712877543283206,,935976,87.0,283.1143375680581,59.0,278,,0,,1.8289473684210527,,0.0,,9130,,0,,0,,0.0,,174797,70.0,1149.9802631578948,73.0,30,,0,,0.11952191235059761,,0.0,,15060,,0,,0,,0.0,,12919,72.0,51.47011952191235,30.0
7,psn/naanbread4life69,psn,287.77906050955414,40.0,0.9069034359567091,34.0,17262,89.0,19034,,2396071,90.0,5244,,18083,,821,,885460,,82129,,9.275291938653355,,55,,270,,1533,,2177,,2754,,2966,,603.0,,0.5726512738853503,38.0,79.48749336518047,,15315,,3233,,2620,,8141,,687,,1349,,10237,,299,,6622,,50.7,,738,91.0,718,,1,,1463,,1438,,163,,0,,1808645,,8674812,,12831416,,3764555,,2542202,,2368055,,1224170,,1788107,,2933200,,390000,,390000,,390000,,390000,,653125,,1320725,,1097412,,216626,,99.71182344484593,,4611,,5814,,0.6044834819087572,,0.7930856553147575,29.0,457735,,132328,,21659,,16.367662172782783,,2413814,91.0,316.4412690089145,52.0,1647,,3881,,0.3198679355214605,,0.42437516104096884,9.0,308975,,129905,,11808,,9.089719410338324,,1258932,86.0,244.50029131870266,17.0,4082,,4672,,0.6309119010819165,,0.8737157534246576,34.0,388215,,233441,,27028,,11.578086111694176,,2045518,93.0,316.15425038639876,49.0,2352,,2974,,0.4651898734177215,,0.7908540685944856,33.0,303390,,42086,,6794,,16.14313548448415,,1233487,90.0,243.9649920886076,44.0,3494,,0,,1.2650253439536567,,0.0,,165745,,0,,0,,0.0,,1320725,92.0,478.1770456191166,34.0,1810,,0,,0.5884265279583876,,0.0,,184585,,0,,0,,0.0,,653125,94.0,212.32932379713915,81.0
8,xbl/vinkerosene,xbl,292.98510645860733,42.0,2.161036405378813,88.0,19767,90.0,9147,,2341740,90.0,3271,,20327,,560,,1832081,,80444,,4.390853897835304,,45,,83,,821,,1058,,803,,1567,,543.0,,0.7026268083745069,54.0,83.23819002594817,,25401,,1094,,577,,2914,,754,,1521,,2468,,476,,1742,,45.4,,739,91.0,889,,1,,1629,,1521,,153,,0,,1688000,,8242550,,11930131,,5525683,,1115878,,1600989,,1408581,,483651,,2279000,,358977,,390000,,390000,,296166,,4453889,,2197394,,2179322,,17653,,99.86716055583459,,635,,845,,0.5304928989139516,,0.7514792899408284,27.0,71820,,18862,,2903,,15.390732690064679,,358977,60.0,299.89724310776944,46.0,639,,854,,0.45675482487491065,,0.7482435597189696,30.0,83970,,34797,,8641,,24.83260051153835,,525402,73.0,375.5553967119371,55.0,829,,992,,0.5537742150968604,,0.8356854838709677,32.0,89875,,42346,,4304,,10.163887970528503,,437636,72.0,292.3420173680695,41.0,665,,749,,0.4669943820224719,,0.8878504672897196,40.0,85445,,10121,,1641,,16.213812864341467,,296166,69.0,207.9817415730337,31.0,5574,,0,,0.8583307668617185,,0.0,,389670,,0,,0,,0.0,,2197394,95.8,338.3729596550662,10.0,11359,,0,,0.7046526054590571,,0.0,,967220,,0,,0,,0.0,,4453889,99.1,276.29584367245656,87.0
9,xbl/devianmortal,xbl,271.06145046771104,34.0,1.9303050180387011,83.0,23542,92.0,12196,,3027269,92.0,2949,,23760,,217,,272174,,45941,,16.879275757419887,,26,,231,,784,,1306,,16424,,3758,,801.0,,0.6633044066268455,49.0,85.29440437281642,,0,,285,,518,,103,,0,,1657,,6775,,400,,2304,,44.6,,739,91.0,918,,0,,1657,,1543,,168,,0,,2129520,,9620513,,13494318,,6846569,,1484994,,1288950,,1251805,,648560,,2622000,,63790,,46944,,11541,,390000,,90,,32998,,20093,,12551,,99.32334529395528,,184,,191,,0.8363636363636363,,0.9633507853403142,42.0,13240,,7127,,1032,,14.48014592395117,,63790,30.0,289.95454545454544,43.0,131,,117,,0.7081081081081081,,1.1196581196581197,56.0,11125,,1852,,354,,19.11447084233261,,46944,30.0,253.75135135135136,19.0,42,,42,,0.8235294117647058,,1.0,44.0,3100,,1849,,215,,11.627906976744185,,11541,20.0,226.2941176470588,21.0,23162,,11793,,0.6619416421365494,,1.9640464682438734,87.0,2099490,,260707,,44278,,16.98381708201161,,9465793,99.4,270.52079106055845,54.0,53,,0,,1.394736842105263,,0.0,,2300,,0,,0,,0.0,,32998,40.0,868.3684210526316,66.0,0,,0,,0.0,,0.0,,265,,0,,0,,0.0,,90,10.0,22.5,11.0
