,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,psn/prodigal_buck_00,psn,293.96852583140236,42.0,2.4569139784946237,92.0,228493,99.8,93000,,25386475,99.8,41550,,237616,,9123,,6585192,,1163277,,17.665043023802497,,51,,422,,24426,,32817,,35805,,11885,,171.0,,1.4914199928200778,95.7,165.70265330765966,,75101,,34026,,32943,,12671,,82,,9265,,72142,,5103,,3724,,67.4,,7803,99.9,3768,,2,,11573,,11267,,391,,0,,9192320,,45037448,,50446880,,32270242,,9741697,,3060010,,7118683,,7521947,,6813600,,390000,,390000,,390000,,151005,,198,,17955,,12829,,4974,,99.63585730156771,,34397,,15021,,1.2609333186700393,,2.289927434924439,92.0,1636775,,779984,,164643,,21.10850991815217,,7041174,97.1,258.11701308698997,32.0,175298,,68282,,1.5769171951603473,,2.5672651650508187,95.2,6669900,,5193211,,902492,,17.37830409740717,,34050808,99.8,306.30871227454685,33.0,686,,395,,0.8932291666666666,,1.7367088607594936,82.0,46135,,10866,,2512,,23.11798269832505,,151005,57.0,196.62109375,27.0,18105,,8478,,1.2955277280858677,,2.1355272469922153,89.0,838510,,600305,,93174,,15.521110102364633,,3832325,96.7,274.2271914132379,35.0,18,,0,,1.125,,0.0,,1000,,0,,0,,0.0,,17955,28.0,1122.1875,73.0,0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,198,17.0,198.0,79.0
1,origin/zeleni82,origin,426.96752500697795,82.0,2.1073568088836936,87.0,173073,99.6,82128,,21757217,99.7,42987,,180942,,7869,,5929477,,990899,,16.711406419149615,,46,,743,,17068,,25427,,35584,,17135,,357.0,,1.1234348325619739,86.0,141.22835703668122,,194398,,17141,,22983,,37174,,1980,,8884,,63818,,3310,,43084,,62.6,,7801,99.9,4584,,76,,12479,,12158,,476,,0,,9243470,,65777336,,68138016,,29095910,,13231791,,23680460,,9977655,,11877301,,5967000,,390000,,390000,,390000,,390000,,6382,,960935,,837882,,120309,,99.94758393076513,,128316,,56460,,1.221335973044488,,2.2726886291179595,92.0,6303740,,3947632,,716639,,18.153642487445637,,45846728,99.9,436.37783404085206,84.0,26101,,14851,,1.0000383141762452,,1.7575247458083632,83.0,1566055,,1077662,,156609,,14.532293056635567,,11046647,98.6,423.24318007662833,69.0,2266,,1600,,0.5530876250915304,,1.41625,71.0,245845,,67739,,10509,,15.513957985798433,,1184082,89.0,289.0119599707103,60.0,15033,,7995,,0.9355280353475637,,1.8803001876172607,84.0,964170,,684702,,98966,,14.453879205844295,,6515432,98.5,405.46592818470344,76.0,1671,,0,,0.6385173863202139,,0.0,,157030,,0,,0,,0.0,,960935,90.0,367.1895299961788,14.0,9,,0,,0.08181818181818182,,0.0,,6630,,0,,0,,0.0,,6382,65.0,58.018181818181816,34.0
2,xbl/dryrpopcornfart,xbl,422.0795523611982,81.0,4.428854237950924,98.5,181211,99.7,40916,,23167062,99.7,32680,,190060,,8849,,4561944,,894950,,19.617733141836023,,106,,2790,,11660,,16952,,30304,,8855,,439.0,,0.8741064106893058,71.0,111.75081761613043,,94768,,15817,,13282,,17639,,8331,,8476,,32894,,5445,,30700,,78.5,,7798,99.9,2130,,9,,9959,,9804,,500,,0,,12438605,,87501312,,74614752,,37868536,,15542513,,34703744,,16670108,,9789897,,9914600,,390000,,390000,,390000,,390000,,2129411,,12057224,,11570323,,476572,,100.0,,89872,,22805,,0.7611111111111111,,3.9408901556676166,99.0,7084805,,2051464,,528446,,25.75945763610768,,44370912,99.9,375.769918699187,70.0,15703,,4903,,0.8148090493980905,,3.202733020599633,97.8,1156320,,461272,,93236,,20.21280285818346,,7826030,97.8,406.08291822332916,64.0,19641,,4622,,0.9455061859144082,,4.249459108610991,98.8,1246430,,193105,,60159,,31.1535175163771,,7587537,99.1,365.2595677080826,81.0,22914,,6329,,0.8972862904804793,,3.6204771685890345,98.0,1532275,,624417,,122349,,19.594117392703915,,12968268,99.6,507.8226886478443,92.0,31932,,0,,1.9492125503601514,,0.0,,982960,,0,,0,,0.0,,12057224,99.6,736.0043950677573,60.0,5611,,0,,0.7725457799807243,,0.0,,435815,,0,,0,,0.0,,2129411,98.0,293.18614897425306,88.0
3,psn/ejam_whitesnake,psn,348.9503215236708,61.0,1.6843416482808855,77.0,159556,99.5,94729,,18944009,99.6,35251,,166479,,6923,,3841493,,720339,,18.751537488158903,,26,,222,,17704,,23918,,22829,,9626,,303.0,,0.675457943687849,51.0,80.19680466008238,,179097,,28180,,31185,,23744,,1213,,9304,,85612,,2237,,45014,,62.6,,7792,99.9,4650,,4,,12445,,12006,,500,,0,,14173185,,82428696,,74613750,,27823296,,16171643,,39029168,,12879783,,13366464,,8385800,,390000,,390000,,390000,,390000,,4975,,980739,,566572,,402154,,100.0,,118985,,70459,,0.6479817453056246,,1.688712584623682,80.0,11017495,,2364308,,499797,,21.139250892861675,,61687472,99.9,335.9444952729491,58.0,37032,,21403,,0.8025312066574203,,1.7302247348502546,83.0,2768665,,1382603,,204360,,14.780815606504543,,19046164,99.4,412.75494105409155,66.0,1016,,649,,0.45195729537366547,,1.5654853620955316,76.0,134910,,11984,,2962,,24.716288384512684,,468125,77.0,208.24065836298934,31.0,1666,,1379,,0.5594358629952989,,1.2081218274111676,57.0,178720,,68072,,9616,,14.126219297214714,,966589,86.0,324.576561450638,52.0,1754,,0,,1.4764309764309764,,0.0,,71280,,0,,0,,0.0,,980739,90.0,825.5378787878788,64.0,0,,0,,0.0,,0.0,,2115,,0,,0,,0.0,,4975,62.0,142.14285714285714,68.0
4,psn/choco-_-banana,psn,264.21186309431624,32.0,2.19878072908938,89.0,177811,99.6,80868,,20543364,99.6,32906,,183022,,5211,,12658961,,687409,,5.430216587285481,,54,,94,,11331,,15260,,11560,,13797,,651.0,,0.5986458915501208,41.0,69.16445246480059,,132988,,10303,,15288,,18246,,2192,,10470,,59639,,2192,,40540,,55.9,,7792,99.9,6120,,15,,13935,,13605,,500,,0,,17821345,,78476736,,74613750,,42422816,,11144206,,25700896,,10915266,,9073574,,8879200,,390000,,390000,,390000,,390000,,21939562,,25211594,,24665858,,532774,,100.0,,45951,,37900,,0.4826430829665886,,1.2124274406332454,59.0,5712425,,2015777,,228512,,11.336174586772248,,23971554,99.6,251.7835243206907,30.0,21617,,16881,,0.5600984583495271,,1.2805520999940763,65.0,2315720,,1004587,,114418,,11.389556106141132,,11928092,98.8,309.0579608757611,34.0,701,,699,,0.35638027452974075,,1.0028612303290414,48.0,118075,,30325,,3711,,12.237427864798022,,410309,74.0,208.59633960345704,31.0,2843,,2674,,0.4200029546461811,,1.0632011967090502,48.0,406175,,192695,,17209,,8.930693583123588,,1588809,91.0,234.71842221893928,23.0,67369,,0,,0.8945439577219795,,0.0,,4518695,,0,,0,,0.0,,25211594,99.9,334.76642190383876,10.0,54778,,0,,0.6919034988000505,,0.0,,4750255,,0,,0,,0.0,,21939562,99.9,277.11964127826195,87.0
5,origin/blister77,origin,561.9790089538078,97.1,3.3489880677697936,96.8,254004,99.9,75845,,30944148,99.9,58154,,264932,,10926,,5777680,,1187794,,20.55832098697055,,127,,1106,,24704,,36805,,43793,,24318,,374.0,,1.2551341094617832,91.0,152.9072598976143,,295142,,26830,,20274,,143124,,20428,,8672,,61364,,5462,,63334,,69.2,,7780,99.9,3430,,27,,11324,,11192,,500,,0,,12142330,,113728816,,74613750,,47128792,,26844628,,40905584,,17790252,,15768147,,13161200,,390000,,390000,,390000,,390000,,1285475,,20921516,,19035280,,1844464,,100.0,,83546,,29072,,1.121166982030946,,2.873761695101816,96.8,4471050,,1706274,,381568,,22.362645155467412,,38858300,99.9,521.4689265536723,95.0,45111,,17233,,1.2811257525843462,,2.61771020716068,95.5,2112720,,1249504,,235092,,18.814825722846827,,20448774,99.5,580.7331023514711,95.1,12523,,5725,,0.8125486633791851,,2.1874235807860263,90.0,924730,,193865,,42296,,21.817243958424676,,7145773,99.0,463.64994809239556,94.0,69579,,20627,,1.3693957882306633,,3.3732001745285305,97.6,3048635,,1947836,,402245,,20.650865883986125,,32551564,99.9,640.6527061602047,98.1,52964,,0,,2.254266865290487,,0.0,,1409705,,0,,0,,0.0,,20921516,99.8,890.4667376037455,67.0,4535,,0,,1.5509575923392613,,0.0,,175490,,0,,0,,0.0,,1285475,96.9,439.6289329685363,94.0
6,xbl/g do mal,xbl,347.30356037790335,61.0,1.4781323915367917,68.0,228098,99.8,154315,,26870688,99.8,48651,,237730,,9632,,7180311,,1176043,,16.3787195290009,,38,,8762,,23872,,32091,,40355,,12859,,159.0,,1.176296464375593,88.0,138.57155823260035,,330144,,45400,,46353,,32320,,509,,12564,,85101,,4396,,21908,,56.0,,7778,99.9,6073,,49,,13900,,13601,,500,,0,,11634755,,67346328,,74613750,,34576008,,16193223,,16867266,,9144630,,13293250,,8091200,,390000,,390000,,390000,,390000,,4110,,278452,,167063,,108770,,100.0,,102307,,62565,,1.2096171581262267,,1.6352113801646289,79.0,5074710,,2948571,,554956,,18.821184906179976,,29601430,99.8,349.98971363711604,63.0,115341,,81465,,1.2034494271822374,,1.4158350211747377,72.0,5750540,,3819920,,561754,,14.705910071415108,,34364852,99.8,358.5573339454519,49.0,991,,2029,,0.331438127090301,,0.48841793987185805,13.0,179430,,44215,,2975,,6.7284858079837155,,573189,80.0,191.70200668896322,25.0,9423,,7065,,0.9018087855297158,,1.3337579617834394,64.0,626990,,364012,,55968,,15.37531729723196,,2914753,95.4,278.95042587807444,37.0,231,,0,,5.5,,0.0,,2570,,0,,0,,0.0,,278452,77.0,6629.809523809524,95.4,0,,0,,0.0,,0.0,,515,,0,,0,,0.0,,4110,60.0,513.75,96.2
7,psn/enigmamila,psn,381.7161015397907,72.0,1.8070292423073178,80.0,241186,99.8,133471,,28567382,99.8,46604,,250202,,9016,,6684762,,1179125,,17.638997469169436,,67,,1365,,20498,,27393,,34292,,18603,,412.0,,0.8829671174502295,71.0,104.58342912789122,,29646,,15601,,33482,,19026,,9361,,11220,,84333,,4904,,53059,,62.9,,7773,99.9,4573,,13,,12359,,12076,,500,,0,,16389290,,104267280,,74613750,,40602464,,17078672,,47481032,,14323885,,13288737,,7776400,,390000,,390000,,390000,,390000,,21206,,18793608,,17393592,,1374065,,100.0,,95815,,55111,,0.983858215162188,,1.7385821342381738,82.0,5843255,,2775152,,488343,,17.59698207521606,,41732016,99.9,428.51731750644336,83.0,16701,,10077,,0.8536597832754038,,1.6573384935992854,81.0,1173855,,540953,,100983,,18.667610679670876,,8109368,97.9,414.50460028624,67.0,14735,,9135,,0.713490218865001,,1.6130268199233717,78.0,1239155,,167185,,39414,,23.575081496545742,,5469689,98.4,264.85032926593067,52.0,77863,,53800,,0.7499229494933929,,1.447267657992565,70.0,6229690,,2509026,,456891,,18.209894995109657,,36921720,99.9,355.60465385059905,62.0,49786,,0,,1.610415655830503,,0.0,,1854920,,0,,0,,0.0,,18793608,99.8,607.9122755943716,51.0,15,,0,,0.018610421836228287,,0.0,,48415,,0,,0,,0.0,,21206,76.0,26.31017369727047,13.0
8,psn/ivaclel_geronimo,psn,386.95455386188814,73.0,2.6614059192691895,93.0,286676,99.9,107716,,34889994,99.9,58218,,295924,,9248,,5425376,,1231770,,22.703864211438987,,59,,2065,,28330,,42897,,85555,,26124,,410.0,,1.5595304152930551,96.4,189.80314652217908,,69123,,18891,,21947,,19530,,292,,9558,,89462,,5369,,9541,,59.6,,7763,99.9,5223,,39,,13044,,12593,,477,,0,,11029370,,71130760,,68305744,,49071116,,13154801,,9149859,,10549237,,8528694,,7731600,,390000,,390000,,390000,,390000,,2011,,1252569,,1209767,,41771,,99.78378686339316,,122377,,47872,,1.7014292467258014,,2.556337733957219,95.1,4315610,,3030560,,658929,,21.74281320943984,,27286358,99.7,379.36709951895006,71.0,32136,,14312,,1.594522179220006,,2.2453884851872554,92.0,1209245,,989630,,176079,,17.792407263320634,,8247440,97.9,409.22099831299,65.0,101620,,33325,,1.4325993176755858,,3.049362340585146,96.7,4256050,,598749,,218317,,36.46219033351204,,28050138,99.9,395.43995827106886,87.0,27150,,10660,,1.5751000754191564,,2.5469043151969983,94.0,1034265,,705937,,166503,,23.586099042832434,,6658206,98.5,386.27406161164936,71.0,3711,,0,,1.058471192241871,,0.0,,210400,,0,,0,,0.0,,1252569,92.0,357.26440387906445,13.0,0,,0,,0.0,,0.0,,3800,,0,,0,,0.0,,2011,51.0,31.92063492063492,17.0
9,origin/_batya_w_zdanii_,origin,448.43681478587433,86.0,4.559657978329925,98.5,209571,99.8,45962,,24651692,99.8,51612,,219786,,10213,,5161248,,1082408,,20.971826968981144,,66,,1754,,22858,,35753,,38349,,21093,,255.0,,1.6709935654656067,97.3,196.55781911543093,,510909,,31516,,34035,,107336,,5399,,8744,,48860,,4422,,15872,,79.9,,7762,99.9,1923,,35,,9724,,9561,,490,,0,,7525030,,56241600,,71863992,,32623542,,15189300,,8597349,,10607694,,10496140,,10221600,,390000,,390000,,390000,,390000,,8996,,2488821,,2310163,,173889,,99.6813066319896,,78192,,17412,,1.6897244732576986,,4.490696071674707,99.3,2776515,,1924028,,426260,,22.15456323920442,,19544730,99.4,422.360453808752,81.0,68994,,14554,,1.8063620892787013,,4.740552425450048,99.4,2291700,,1691535,,346900,,20.508000130059383,,18550104,99.4,485.6683859143867,84.0,11931,,1790,,1.7545588235294118,,6.66536312849162,99.6,408040,,199906,,48263,,24.142847138154934,,2875344,96.0,422.84470588235297,90.0,44560,,11343,,1.5114307034800896,,3.92841399982368,98.4,1768945,,1160551,,239143,,20.60598801776053,,13225058,99.6,448.58076114239196,85.0,6544,,0,,1.4439541041482788,,0.0,,271975,,0,,0,,0.0,,2488821,96.4,549.1661518093557,44.0,19,,0,,0.14615384615384616,,0.0,,7855,,0,,0,,0.0,,8996,69.0,69.2,41.0
