,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile
0,psn/maz1k__,psn,301.32511226543915,45.0,2.583035447005582,93.0,146688,99.4,56789,,19868222,99.6,40389,,155386,,8698,,5308598,,969066,,18.254650286196092,,35,,1211,,17344,,24291,,29584,,12544,,187.0,,0.6883173557441896,52.0,93.22945319575244,,418275,,27134,,39465,,50854,,1046,,7460,,37492,,3356,,18726,,69.3,,6516,99.8,2856,,25,,9397,,9074,,500,,0,,12786685,,64215696,,74613750,,28322578,,13382801,,22866224,,13199355,,9415722,,8541600,,390000,,390000,,390000,,390000,,1335,,143778,,85424,,56697,,100.0,,41283,,17307,,0.7743224233330207,,2.3853354134165365,93.0,3198915,,1186732,,232053,,19.553951524017215,,16575852,99.2,310.90409828378506,50.0,83258,,30403,,0.6960905625041803,,2.7384797552873072,96.2,7176525,,3303369,,578588,,17.515088384010387,,34072520,99.8,284.8682362383787,27.0,0,,0,,0.0,,0.0,,190,,0,,0,,0.0,,1335,45.0,445.0,95.1,5110,,2422,,0.3486626637554585,,2.1098265895953756,89.0,879370,,154048,,33532,,21.767241379310345,,3242512,96.6,221.24126637554585,36.0,16755,,6148,,0.6572650243213557,,2.725276512687053,95.3,1529555,,661453,,116498,,17.612438071941618,,7631052,98.8,299.3508551702495,44.0,194,,0,,5.542857142857143,,0.0,,2130,,0,,0,,0.0,,143778,67.0,4107.942857142857,92.0
1,xbl/rc9hd,xbl,333.4655590815755,56.0,3.5035286077228225,97.2,235812,99.8,67307,,25517916,99.8,32429,,243193,,7381,,4462031,,1078458,,24.16966623494996,,50,,4853,,24097,,31741,,43939,,8333,,214.0,,1.8341422437931678,98.0,198.4779727459399,,321936,,23542,,24415,,31583,,84,,9938,,49860,,4962,,1954,,62.2,,6512,99.8,3949,,5,,10471,,10003,,425,,0,,7714085,,42873000,,56722960,,32939876,,7998019,,1997379,,6582201,,5972912,,7313800,,390000,,390000,,390000,,390000,,2825,,123161,,93871,,28670,,99.66477345105532,,84362,,25413,,1.7334538804528736,,3.3196395545586905,98.1,2920025,,1537376,,398992,,25.952792290239994,,14648370,99.0,300.99184252162655,46.0,108409,,29646,,1.9755626423690205,,3.6567833771841056,98.5,3292505,,2204479,,494509,,22.43201228045266,,20583048,99.5,375.08971298405464,55.0,4,,0,,0.05405405405405406,,0.0,,4460,,0,,0,,0.0,,2825,55.0,38.17567567567568,21.0,10123,,3396,,1.3964684784108152,,2.9808598351001176,96.4,434975,,59469,,21471,,36.104525046662964,,2145162,94.0,295.925231066354,63.0,32768,,8247,,1.8638302713156247,,3.9733236328361827,98.5,1054865,,654496,,162804,,24.874712756074903,,5542580,98.1,315.25965530970933,49.0,247,,0,,2.058333333333333,,0.0,,7255,,0,,0,,0.0,,123161,65.0,1026.3416666666667,71.0
2,psn/beerrose,psn,541.5538398744474,96.3,1.916875789335564,83.0,233740,99.8,121938,,26744781,99.8,48934,,241704,,7963,,5817979,,900648,,15.480427138014763,,54,,25137,,25292,,34019,,42828,,13600,,526.0,,1.343711734913855,93.0,153.74893504492644,,441008,,57981,,58745,,73010,,5937,,8840,,68312,,4368,,47796,,66.3,,6511,99.8,3274,,42,,9827,,9587,,500,,0,,10437085,,94203832,,74613750,,37672524,,29860886,,27365214,,14578451,,19209642,,8739200,,390000,,390000,,390000,,390000,,112906,,3056848,,2643804,,401722,,100.0,,39159,,23270,,1.1594078460399704,,1.6828104856037818,80.0,2026500,,1024960,,180433,,17.603906493911957,,15763544,99.1,466.7222501850481,89.0,107152,,51902,,1.4606125870694238,,2.0645061847327657,90.0,4401690,,3285747,,450506,,13.710915660883202,,43342584,99.9,590.8123389812025,95.7,246,,0,,0.2679738562091503,,0.0,,55130,,0,,0,,0.0,,112906,86.0,122.99128540305011,63.0,60108,,34177,,1.2954310344827586,,1.758726629019516,82.0,2784045,,842778,,166319,,19.73461575883566,,24995952,99.9,538.7058620689655,97.5,19710,,10267,,1.3374499558933297,,1.9197428654913802,85.0,884240,,401809,,77667,,19.32933309109552,,7313815,98.8,496.2892719006582,91.0,7566,,0,,1.5901639344262295,,0.0,,285480,,0,,0,,0.0,,3056848,97.1,642.4649012189996,54.0
3,psn/gama_sg,psn,434.8387747680107,84.0,3.284663536776213,96.7,209890,99.8,63900,,24445373,99.8,40357,,217615,,7725,,10090343,,956601,,9.480361569472912,,81,,1660,,17244,,23263,,28895,,19764,,627.0,,1.2311563684142608,90.0,143.38975962271678,,439851,,22775,,18535,,68648,,6347,,6673,,65107,,4825,,26428,,70.9,,6510,99.8,2593,,73,,9270,,8979,,500,,0,,10228975,,74132184,,74613750,,39354384,,16631096,,18630488,,12499808,,10488787,,8222600,,390000,,390000,,390000,,390000,,12199038,,11224388,,10713271,,498744,,100.0,,57156,,21571,,1.316776482513938,,2.649668536460989,95.7,2604390,,1437314,,281913,,19.613876995562556,,19136246,99.4,440.8663779201032,85.0,40604,,18110,,1.1673183072677094,,2.242076200993926,92.0,2087055,,1255313,,198763,,15.833740270354884,,16182264,99.2,465.22148114075435,79.0,35740,,0,,1.111007491684541,,0.0,,1930145,,0,,0,,0.0,,12199038,99.8,379.21719668003357,93.0,6153,,3084,,0.8550583657587548,,1.995136186770428,87.0,431805,,88785,,20094,,22.63220138536915,,2516887,95.3,349.7619510839355,78.0,42604,,15392,,1.2772514690010792,,2.767931392931393,95.5,2001385,,1619103,,228308,,14.100894137062312,,15002069,99.7,449.7562357596834,85.0,30806,,0,,1.5742245388113854,,0.0,,1174195,,0,,0,,0.0,,11224388,99.6,573.5800500792069,47.0
4,psn/samirpaiva,psn,418.75504403663285,81.0,1.883649934868258,82.0,235703,99.8,125131,,27311548,99.8,46177,,244513,,8809,,6468735,,1192367,,18.432769312701787,,31,,1401,,22556,,29274,,37125,,10909,,160.0,,1.033821362153058,82.0,119.79169444541914,,210754,,25436,,32950,,22779,,288,,8413,,84799,,4708,,39438,,61.1,,6504,99.8,4100,,38,,10644,,10410,,500,,0,,13679525,,95472800,,74613750,,36173588,,19051962,,41005108,,13678691,,12582774,,6601200,,390000,,390000,,390000,,390000,,5684,,469371,,235772,,228411,,100.0,,160870,,79147,,1.068513167945269,,2.0325470327365536,89.0,9033315,,4141988,,792287,,19.128181926166853,,63237892,99.9,420.03182889973766,81.0,63049,,37778,,0.9806663348472594,,1.6689343003864683,81.0,3857520,,2065697,,334662,,16.20092394964024,,27962992,99.7,434.9373483481615,72.0,1,,0,,0.08333333333333333,,0.0,,775,,0,,0,,0.0,,5684,64.0,473.6666666666667,95.6,1404,,1010,,0.715961244263131,,1.39009900990099,69.0,117680,,25195,,5839,,23.175233181186744,,629600,82.0,321.06068332483426,70.0,10315,,6611,,0.9289445244956772,,1.5602783240054454,74.0,666255,,233700,,59202,,25.332477535301667,,3983867,96.9,358.7776476945245,63.0,299,,0,,4.53030303030303,,0.0,,3980,,0,,0,,0.0,,469371,83.0,7111.681818181818,95.8
5,psn/cigarfox55,psn,409.68545967539177,79.0,3.4210987435534936,97.0,171811,99.6,50221,,20574755,99.6,36315,,178686,,6875,,4892990,,777003,,15.879922092626389,,112,,478,,13847,,19105,,17384,,17339,,559.0,,0.9599184289186244,77.0,114.95239824566305,,97665,,16136,,20517,,120085,,10683,,7184,,42474,,3973,,39748,,66.2,,6504,99.8,3249,,72,,9839,,9494,,500,,0,,10739130,,73327552,,74613750,,30749916,,16465809,,26660354,,12848137,,11519195,,9117200,,390000,,390000,,390000,,390000,,4889625,,24276920,,23913064,,357602,,100.0,,24470,,14901,,0.6508844261204948,,1.6421716663311188,79.0,2255755,,873831,,162308,,18.574300980395524,,12401117,98.7,329.86080595823915,56.0,5701,,3581,,0.7394293125810636,,1.5920134040770735,79.0,462640,,246370,,41099,,16.681820026788976,,3189157,94.0,413.6390402075227,66.0,13459,,0,,0.8229790876849701,,0.0,,981270,,0,,0,,0.0,,4889625,99.2,298.9864864864865,89.0,2855,,1656,,0.5117404552787238,,1.7240338164251208,81.0,334785,,50799,,9372,,18.4491820705132,,1646263,92.0,295.08209356515505,63.0,61550,,23873,,0.9404125286478228,,2.578226448288862,94.0,3927010,,2234612,,381336,,17.064975933182136,,29720764,99.9,454.0987624140565,86.0,67537,,0,,1.4588715600293776,,0.0,,2777670,,0,,0,,0.0,,24276920,99.9,524.4074826111375,41.0
6,xbl/slava rus vs rf,xbl,516.681787101301,94.0,2.361925252658309,91.0,322750,99.9,136647,,37015916,99.9,43604,,331733,,8983,,6268684,,1353179,,21.58633295281753,,79,,2489,,22960,,32254,,44096,,11087,,619.0,,1.4424000822313292,95.0,165.4276073811556,,247751,,23642,,25426,,66131,,875,,7182,,76339,,5560,,46595,,57.3,,6493,99.8,4824,,22,,11353,,10867,,500,,0,,13425580,,115612200,,74613750,,51870868,,21669240,,43268884,,17766338,,12506425,,7889800,,390000,,390000,,390000,,390000,,10104057,,3763328,,3272940,,478065,,100.0,,79000,,37491,,1.28823951470876,,2.107172388039796,90.0,3679445,,1406083,,340478,,24.214644512450544,,30351160,99.8,494.9311851803535,92.0,123731,,53344,,1.5463089093567617,,2.319492351529694,93.0,4801025,,2813845,,586491,,20.843045725688516,,45442112,99.9,567.9057200344927,94.0,35636,,0,,1.937581557198782,,0.0,,1103545,,0,,0,,0.0,,10104057,99.7,549.372390169639,96.6,21918,,13409,,1.039556061468412,,1.6345737937206355,79.0,1265040,,211215,,57646,,27.292569183059918,,8513078,99.2,403.769588313413,88.0,52123,,23834,,1.415770317253368,,2.1869178484517917,90.0,2209000,,927948,,229632,,24.74621422752137,,18439866,99.8,500.8655475880052,92.0,9732,,0,,1.5888979591836734,,0.0,,367525,,0,,0,,0.0,,3763328,97.8,614.4208979591837,51.0
7,origin/verbql,origin,573.1512699689691,97.5,10.719470261805059,99.5,314863,99.9,29373,,35899514,99.9,51698,,323916,,9053,,30699348,,1272262,,4.14426391075146,,143,,267,,14566,,22082,,21013,,28834,,627.0,,1.8093495000574646,98.0,206.29533386967015,,158369,,8210,,10320,,26974,,3542,,6189,,16325,,7215,,19418,,69.2,,6489,99.8,2826,,67,,9468,,9062,,500,,0,,10441230,,99739784,,74613750,,68854040,,14645323,,17394398,,15487640,,5962629,,6775200,,390000,,390000,,390000,,390000,,67068176,,9311046,,9230989,,78245,,100.0,,22787,,6286,,1.2258984290940391,,3.6250397709195035,98.6,1115325,,429782,,105096,,24.45332750091907,,8738367,97.8,470.10797288573275,89.0,17165,,5450,,1.2208392603129445,,3.1495412844036696,97.6,843645,,397694,,74383,,18.70357611631053,,7382912,97.6,525.100426742532,90.0,227569,,0,,2.0677376268660783,,0.0,,6603470,,0,,0,,0.0,,67068176,99.9,609.3949135447995,97.1,8622,,2400,,1.0186672967863895,,3.5925,98.0,507870,,107342,,25618,,23.86577481321384,,3662621,97.1,432.72932419659736,91.0,10510,,3030,,1.261704681872749,,3.4686468646864688,97.8,499825,,244771,,57737,,23.58817016721752,,4032230,96.9,484.0612244897959,90.0,27240,,0,,1.87629150020664,,0.0,,871095,,0,,0,,0.0,,9311046,99.4,641.3449510951922,54.0
8,psn/savagegotdjuic3,psn,643.9437668837176,98.8,4.37656163782736,98.4,309331,99.9,70679,,33972684,99.9,56038,,321265,,11933,,6006427,,1438657,,23.95196012537903,,65,,1455,,30666,,43196,,49064,,13900,,432.0,,1.894841622307028,98.2,208.1034738344492,,355521,,28360,,40166,,37176,,224,,6727,,57652,,7202,,44341,,76.5,,6489,99.8,1985,,4,,8480,,8283,,500,,0,,9794950,,105123176,,74613750,,45785212,,20697192,,39572028,,17127338,,12568152,,6311200,,390000,,390000,,390000,,390000,,1154548,,2042162,,1896459,,142202,,100.0,,137679,,31341,,1.891714756801319,,4.392935771034747,99.3,4366825,,2303559,,621092,,26.96227880423293,,47255092,99.9,649.2867820829898,99.0,140748,,32813,,1.9994033667163862,,4.289397494895316,99.1,4223755,,3011676,,687434,,22.82562931736349,,47852016,99.9,679.7644150862988,98.5,3323,,0,,0.7876273998577862,,0.0,,253195,,0,,0,,0.0,,1154548,96.6,273.65442047878645,87.0,4862,,1274,,1.5165315034310667,,3.816326530612245,98.3,192360,,48344,,14978,,30.982128082078436,,1910075,93.0,595.7813474734872,98.4,16950,,3773,,1.9333865632485456,,4.492446329181023,98.9,526040,,286668,,88282,,30.79590327486849,,5768129,98.2,657.9364662940573,98.3,5845,,0,,1.5068316576437226,,0.0,,232775,,0,,0,,0.0,,2042162,95.5,526.4660995101831,41.0
9,origin/paulus181,origin,316.3917502971994,50.0,0.7053096456890495,20.0,49189,96.4,69741,,6830929,97.0,16446,,51584,,2395,,2257334,,264033,,11.696674041147654,,22,,538,,4386,,6142,,5446,,5563,,250.0,,0.3399753946531752,13.0,47.21274639904896,,88468,,10075,,8525,,31397,,8003,,6263,,47253,,866,,37608,,81.6,,6488,99.8,1450,,10,,7948,,7669,,418,,0,,8681075,,45776824,,54988136,,12139063,,12006348,,21800858,,7623648,,8616344,,10285000,,390000,,390000,,390000,,390000,,4857,,3528208,,2050282,,1446471,,99.6184442582486,,19354,,27512,,0.34099758620082105,,0.7034748473393428,23.0,3405465,,849186,,114492,,13.482558591404004,,17380510,99.3,306.22672093310075,48.0,3258,,7249,,0.3077940481813888,,0.449441302248586,10.0,635150,,197115,,27633,,14.018720036526899,,3888502,95.1,367.35965989607934,52.0,1,,0,,0.5,,0.0,,170,,0,,0,,0.0,,4857,62.0,2428.5,99.6,12834,,17923,,0.3267893972958521,,0.7160631590693523,28.0,2356410,,360485,,44909,,12.4579386104831,,12809684,99.7,326.17024418811906,72.0,10286,,15496,,0.3247766095165925,,0.6637842023748064,20.0,1900295,,735160,,64132,,8.723543174274988,,9555910,99.2,301.7242903602665,45.0,4395,,0,,0.6874706710464571,,0.0,,383585,,0,,0,,0.0,,3528208,97.6,551.8861254497107,44.0
