,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,origin/foskarn,origin,535.5833784116056,95.9,2.854630385232293,95.0,101445,98.8,35537,,12632949,98.9,22775,,105676,,4231,,2303726,,504624,,21.90468831796837,,54,,1296,,8646,,13185,,18009,,7647,,323.0,,1.247172362921072,91.0,155.31041308089502,,179882,,12582,,12898,,36848,,1615,,2663,,23974,,1933,,20305,,58.5,,2284,97.8,1614,,5,,3906,,3871,,357,,0,,4880410,,43564352,,43376280,,18438662,,9229025,,16028339,,6680996,,5839526,,5954000,,390000,,390000,,390000,,390000,,2002805,,3726711,,3449939,,270235,,99.90045947097502,,48345,,18616,,1.1755623100303951,,2.5969596046411687,95.4,2467525,,1086840,,269063,,24.75644989142836,,21279606,99.5,517.4372279635259,94.0,14103,,5302,,1.437468147997146,,2.659939645416824,95.8,588670,,381195,,78567,,20.610711053397868,,6257014,97.1,637.7549689124452,97.6,11328,,4247,,1.5005961054444297,,2.667294560866494,95.0,452985,,168128,,68375,,40.668419299581274,,4386893,97.2,581.1224003179229,96.8,12626,,4614,,1.0203652820429934,,2.736454269614218,95.4,742470,,104950,,34197,,32.58408766079085,,5906461,98.6,477.32834976563765,95.2,8382,,0,,1.5413755057006253,,0.0,,326310,,0,,0,,0.0,,3726711,97.7,685.3091210003678,57.0,6537,,0,,1.2970238095238096,,0.0,,302450,,0,,0,,0.0,,2002805,97.9,397.38194444444446,93.0
1,psn/dreakechaos,psn,458.038851524359,88.0,2.681228049406101,94.0,67945,97.7,25341,,7943642,97.5,14221,,70724,,2779,,1815264,,329407,,18.14650651365311,,47,,376,,7545,,10170,,14498,,5204,,369.0,,1.1598272506913387,88.0,135.5986821890683,,410872,,21232,,11663,,30206,,740,,1671,,23188,,1231,,10302,,64.6,,2283,97.8,1209,,43,,3537,,3320,,233,,0,,3514945,,26832832,,22885304,,10521703,,8292124,,8032340,,4526820,,4522318,,2430800,,390000,,390000,,390000,,390000,,44134,,973965,,944012,,29014,,99.2585698021144,,9112,,3643,,1.1381463902073445,,2.5012352456766402,94.0,480365,,164347,,38209,,23.248979293811264,,3073177,92.0,383.8592305770672,72.0,51933,,18980,,1.1791966576599078,,2.736195995785037,96.1,2642510,,1415499,,260053,,18.37182505957263,,20923192,99.5,475.0843986285507,82.0,2992,,1249,,1.143730886850153,,2.3955164131305042,92.0,156965,,88319,,16239,,18.38675709643452,,1203635,88.0,460.105122324159,87.0,1502,,589,,0.9358255451713395,,2.5500848896434634,94.0,96315,,15991,,3986,,24.92652116815709,,653649,82.0,407.25794392523363,88.0,2548,,0,,1.4092920353982301,,0.0,,108495,,0,,0,,0.0,,973965,90.0,538.6974557522124,43.0,76,,0,,0.15079365079365079,,0.0,,30295,,0,,0,,0.0,,44134,81.0,87.56746031746032,50.0
2,psn/uny_kawixoo,psn,488.5459104874201,92.0,3.5073662737987306,97.2,92847,98.6,26472,,10417291,98.4,15448,,96045,,3196,,1942630,,368153,,18.95126709666792,,102,,357,,7511,,10276,,16764,,4731,,497.0,,1.541924769575687,96.2,173.00159428713775,,39099,,7320,,9294,,5853,,2291,,3245,,15783,,1924,,7024,,63.5,,2282,97.8,1304,,6,,3592,,3422,,318,,0,,3612925,,29417792,,36321204,,15447175,,5240279,,8760290,,4546939,,3037610,,3550000,,390000,,390000,,390000,,390000,,1476035,,6899714,,6884582,,14632,,99.95515376676987,,24989,,9849,,1.4357368572249354,,2.5372118996852473,95.0,1044350,,554885,,118571,,21.368571866242554,,8426988,97.7,484.1705257110026,91.0,25967,,9433,,1.5565879390960315,,2.7527827838439523,96.2,1000965,,668441,,127686,,19.102059867662216,,8775729,98.1,526.0597650161851,90.0,9771,,3648,,1.5661163648020515,,2.6784539473684212,95.0,374370,,215926,,48543,,22.481313042431204,,3215919,95.9,515.4542394614522,93.0,2404,,1273,,0.9386958219445529,,1.8884524744697564,85.0,153670,,23699,,6253,,26.385079539221064,,917315,87.0,358.1862553689965,80.0,25775,,0,,1.870871742759672,,0.0,,826665,,0,,0,,0.0,,6899714,99.0,500.81396530449297,37.0,4255,,0,,1.1992671927846674,,0.0,,212905,,0,,0,,0.0,,1476035,97.2,416.01888387824124,94.0
3,psn/sparky_,psn,418.7843803056027,81.0,2.4364359812420067,92.0,85726,98.4,35185,,9796751,98.2,14088,,88287,,2561,,1973898,,323792,,16.403684486229785,,57,,1271,,6616,,8984,,12513,,3899,,388.0,,0.8874694604331442,72.0,101.41984140130026,,121027,,11468,,7528,,15278,,559,,2310,,25603,,1766,,17034,,69.2,,2291,97.8,1015,,5,,3311,,3089,,330,,0,,5795800,,40452896,,38700516,,14676303,,7995616,,17878586,,4861478,,4366101,,3950600,,390000,,390000,,390000,,390000,,787803,,5297952,,5074227,,218095,,99.59600077205172,,18093,,8643,,0.6631602096543635,,2.0933703575147518,90.0,1637035,,483951,,81777,,16.89778510634341,,8962304,97.9,328.49408056298796,56.0,19923,,9428,,0.9801249569538053,,2.1131735256682225,90.0,1219635,,569504,,99888,,17.53947294487835,,10679857,98.5,525.4025188173365,90.0,8408,,3549,,0.8762897342365815,,2.3691180614257537,92.0,575755,,166327,,33387,,20.07310899613412,,3403903,96.2,354.7579989577905,62.0,26395,,10926,,0.9520288548241659,,2.415797181036061,93.0,1663525,,273675,,66580,,24.32812642733169,,12084198,99.6,435.85926059513076,92.0,12353,,0,,1.3500546448087432,,0.0,,549020,,0,,0,,0.0,,5297952,98.6,579.0111475409836,48.0,2421,,0,,0.9633903700756068,,0.0,,150830,,0,,0,,0.0,,787803,95.4,313.4910465578989,90.0
4,psn/yu-ki--ma-non,psn,323.8216163674478,53.0,1.504502245423667,70.0,65998,97.6,43867,,8249690,97.7,12366,,68044,,2046,,1596587,,316103,,19.798670539093706,,37,,427,,5139,,7279,,17421,,5212,,376.0,,0.7729098595837871,61.0,96.61302978135357,,57194,,6694,,5935,,9282,,2920,,3698,,28707,,759,,11835,,51.8,,2281,97.8,2119,,5,,4417,,4295,,307,,0,,5123395,,27650804,,34471840,,11588772,,6121793,,9963407,,3979802,,3750267,,5932600,,390000,,390000,,390000,,390000,,21681,,575119,,317935,,250423,,99.88942335554911,,22539,,14922,,0.8252416520210897,,1.510454362685967,74.0,1638725,,487317,,109040,,22.37557893527211,,9154898,98.0,335.1969097832455,58.0,15756,,10530,,0.8939067286962442,,1.4962962962962962,75.0,1057610,,505145,,96106,,19.025428342357145,,6425263,97.2,364.5332463406331,51.0,10122,,7335,,0.7503335804299481,,1.379959100204499,66.0,809430,,342776,,59039,,17.22378462902887,,4231260,97.1,313.6590066716086,49.0,17343,,10785,,0.6575046441975964,,1.608066759388039,78.0,1582625,,223590,,49233,,22.019321078760232,,7608710,99.1,288.46002198885395,60.0,966,,0,,2.7288135593220337,,0.0,,21250,,0,,0,,0.0,,575119,86.0,1624.629943502825,80.0,15,,0,,0.06550218340611354,,0.0,,13755,,0,,0,,0.0,,21681,76.0,94.67685589519651,53.0
5,xbl/el compa chan1,xbl,230.96528187963509,22.0,0.7103946889778101,20.0,31246,94.0,43984,,4213505,94.0,9632,,32660,,1414,,3383856,,182746,,5.4005253178622254,,31,,502,,2842,,3676,,4168,,7311,,585.0,,0.4101332283257859,19.0,55.306228260156196,,64916,,3414,,4661,,42375,,2191,,1069,,21580,,625,,9010,,66.4,,2281,97.8,1144,,9,,3439,,3202,,159,,0,,4571150,,17596090,,12332261,,6457486,,4402116,,6736112,,2664169,,2826491,,1924400,,390000,,390000,,390000,,390000,,1164944,,2362872,,2212472,,146715,,99.41363160016122,,2414,,4508,,0.36653507440024297,,0.5354924578527063,13.0,395205,,145786,,14830,,10.172444541999917,,1503593,86.0,228.3013969025205,23.0,4018,,7677,,0.3851241253714176,,0.5233815292431939,15.0,626020,,237733,,23567,,9.913221975914157,,2851671,93.0,273.33183168791334,24.0,16057,,25622,,0.4019676563360537,,0.6266880024978534,18.0,2396780,,1348321,,102454,,7.598635636469357,,9447126,99.2,236.49742151905073,24.0,1122,,1571,,0.316056338028169,,0.7141947803946531,28.0,213050,,24980,,2582,,10.336269015212169,,489138,77.0,137.78535211267607,10.0,5378,,0,,0.7201392608462774,,0.0,,448095,,0,,0,,0.0,,2362872,96.1,316.3995715050884,7.0,2566,,0,,0.3129268292682927,,0.0,,492000,,0,,0,,0.0,,1164944,96.6,142.06634146341463,68.0
6,xbl/rodrigotm31,xbl,213.963965569079,17.0,1.298690916358549,59.0,64980,97.5,50035,,7749995,97.4,8742,,66559,,1577,,946892,,208872,,22.058693071649145,,31,,471,,4251,,6505,,11072,,3660,,300.0,,0.723583844637707,56.0,86.29995657160674,,1955,,1897,,3424,,896,,7,,4640,,31378,,1007,,5852,,49.4,,2291,97.8,2300,,48,,4640,,4581,,265,,0,,5388210,,19214606,,27334986,,10480473,,3602496,,5121328,,2320980,,2460695,,5807000,,390000,,236384,,390000,,390000,,3755,,1904435,,1701181,,197301,,99.50669263391639,,6059,,5768,,0.7178059471626584,,1.0504507628294035,48.0,506515,,151717,,30353,,20.006327570410697,,1965335,89.0,232.83201042530507,25.0,594,,778,,0.5834970530451866,,0.7634961439588689,31.0,61130,,21365,,3267,,15.291364380996958,,236384,59.0,232.20432220039294,15.0,13236,,11643,,0.7551777257944885,,1.1368204071115693,53.0,1051675,,401357,,74275,,18.50596850185745,,3923895,96.8,223.87716095167457,21.0,40595,,30740,,0.7070328828201198,,1.3205920624593364,66.0,3444980,,297731,,90509,,30.3995888906429,,11470558,99.6,199.77981747248154,28.0,5222,,0,,0.9877056932097598,,0.0,,317220,,0,,0,,0.0,,1904435,95.1,360.210894647248,13.0,0,,0,,0.0,,0.0,,6690,,0,,0,,0.0,,3755,59.0,33.828828828828826,18.0
7,xbl/uglieststorm5,xbl,235.55574943290875,23.0,1.8637549440377008,82.0,44294,95.9,23766,,5349733,95.8,8205,,45430,,1136,,13204408,,226010,,1.7116253905513978,,35,,20,,1624,,2152,,1971,,7379,,594.0,,0.5152562089222358,31.0,62.231524457628105,,879,,364,,2031,,3672,,707,,3581,,8604,,993,,6924,,45.9,,2281,97.8,2601,,85,,4966,,4550,,241,,0,,5157910,,20249550,,24325692,,14921514,,1793896,,3557317,,3392568,,1385970,,3358000,,390000,,101890,,390000,,150254,,11817164,,4214422,,4090729,,120752,,99.46615691285459,,1882,,3058,,0.3204495147284182,,0.6154349247874428,17.0,352380,,116878,,11185,,9.569807833809614,,1057763,81.0,180.10607866507746,12.0,151,,305,,0.33259911894273125,,0.49508196721311476,12.0,27290,,9719,,748,,7.696265047844427,,101890,43.0,224.4273127753304,14.0,6563,,6799,,0.4355877082365434,,0.9652890130901604,40.0,904040,,932098,,42249,,4.532677894384496,,3273637,96.0,217.27198513307226,19.0,287,,435,,0.2913705583756345,,0.6597701149425287,24.0,59115,,11264,,753,,6.685014204545454,,150254,57.0,152.54213197969543,13.0,10571,,0,,0.7839661821417977,,0.0,,809090,,0,,0,,0.0,,4214422,98.1,312.5498368436666,7.0,25722,,0,,0.5134234216251822,,0.0,,3005995,,0,,0,,0.0,,11817164,99.7,235.87624503483104,83.0
8,psn/jonystricker16,psn,150.62368826992852,5.0,0.6118605466012614,14.0,13970,87.0,22832,,3538747,93.0,5684,,16345,,2375,,1065104,,187418,,17.596215956376092,,30,,898,,1011,,1517,,2636,,1410,,198.0,,0.07587937514936885,0.0,19.221038738131966,,28185,,5504,,5851,,7783,,342,,5783,,5049,,566,,3989,,35.7,,2286,97.8,4122,,0,,6408,,6374,,347,,0,,11046525,,27731026,,42397696,,6005976,,1969500,,19767162,,12137273,,2843605,,6207600,,390000,,390000,,390000,,390000,,674,,1049111,,914173,,132634,,99.92975310824347,,2354,,5117,,0.0651788680917045,,0.46003517686144224,9.0,2166960,,199454,,33090,,16.59029149578349,,3157883,93.0,87.4372300365489,2.0,2848,,3909,,0.17364794829583563,,0.7285750831414685,29.0,984115,,159780,,22595,,14.141319314056828,,2841987,93.0,173.28132430949333,6.0,3358,,4932,,0.08949177837592943,,0.680859691808597,22.0,2251410,,266802,,44337,,16.617941394742168,,4461199,97.3,118.89238600325135,4.0,4994,,8748,,0.05330060302043866,,0.5708733424782807,18.0,5621720,,424803,,85648,,20.161816183030723,,10887878,99.5,116.20553924969316,6.0,508,,0,,1.3917808219178083,,0.0,,21940,,0,,0,,0.0,,1049111,91.0,2874.276712328767,88.0,0,,0,,0.0,,0.0,,380,,0,,0,,0.0,,674,34.0,112.33333333333333,60.0
9,psn/omrud,psn,308.37792258315505,48.0,1.7192049919112549,78.0,74390,98.0,43270,,9141699,98.0,13243,,76701,,2311,,2035285,,288548,,14.177277383757067,,64,,3,,5025,,7311,,10122,,6462,,466.0,,0.7234973740517409,56.0,88.90973546002724,,62779,,7757,,6121,,38907,,4742,,3681,,35719,,1307,,15354,,51.0,,2290,97.8,2181,,19,,4497,,4411,,324,,0,,6169205,,31707418,,37509852,,13897562,,7640159,,10210238,,3922480,,4682036,,6137400,,390000,,390000,,390000,,390000,,7371,,8377955,,8213092,,160920,,99.76687811689608,,7789,,7355,,0.6751321834098986,,1.0590074779061862,49.0,692250,,160465,,33330,,20.770884616583054,,3525543,93.0,305.5857675305539,48.0,6514,,5636,,0.717954370109115,,1.1557842441447834,58.0,544385,,204324,,32443,,15.878213034200584,,3272909,94.0,360.7306293397994,50.0,16594,,11778,,0.697637265618431,,1.4088979453217865,68.0,1427210,,878341,,99154,,11.288781919550607,,7444442,98.8,312.9757840746658,48.0,25496,,15403,,0.6683618633182163,,1.6552619619554632,79.0,2288820,,242231,,63764,,26.323633226135385,,10353565,99.5,271.4122997876635,54.0,21086,,0,,1.0524056697943702,,0.0,,1202210,,0,,0,,0.0,,8377955,99.3,418.14508884008785,23.0,3,,0,,0.012605042016806723,,0.0,,14330,,0,,0,,0.0,,7371,67.0,30.970588235294116,16.0
